"Notice ID","Title","Description","Current Response Date","Last Modified Date","Last Published Date","Contract Opportunity Type","POC Information","Active/Inactive","Awardee","Contract Award Number","Contract Award Date","NAICS","PSC","Modification Number","Set Aside"
"72052023R00006","Solicitation for U.S. Personal Service Contractor (USPSC) Resident Hire for Agriculture Program Specialist (GS-9)","The United States Government, represented by the U.S. Agency for International Development (USAID), is seeking offers from qualified persons to provide personal services under contract as described in this solicitation.","Mar 29, 2023 03:00 PM CST","Feb 27, 2023","Feb 27, 2023","Solicitation","Guadalupe Ramirez | Coy Lindsay","Active","N/A","N/A","N/A","All Other Personal Services","SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS","N/A","N/A"
"720BHA23R00007","USPSC U.S. Mission to United Nations (USUN) New York - Senior Advisor/Team Leader","SOLICITATION NUMBER: 720BHA23R00007 ISSUANCE DATE: February 27, 2023 CLOSING DATE AND TIME: April 7, 2023, 12:00 P.M. Eastern Time SUBJECT: Solicitation for U.S. Personal Service Contractor (USPSC) Dear Prospective Offerors: The United States Government (USG), represented by the U.S. Agency for International Development (USAID) is seeking offers from qualified persons to provide personal services under contract as described in this solicitation. Offers must be in accordance with Attachment 1 of this solicitation. Incomplete or unsigned offers will not be considered. Offerors should retain copies of all offer materials for their records. USAID will evaluate all offerors based on stated evaluation criteria. USAID encourages all individuals, including those from disadvantaged and under-represented groups, to respond to the solicitation. This solicitation in no way obligates USAID to award a PSC contract, nor does it commit USAID to pay any cost incurred in the preparation and submission of the offer. Any questions must be directed in writing to the Point of Contact specified in Attachment 1. Sincerely, Joy Burriss Contracting Officer","Apr 07, 2023 12:00 PM EDT","Feb 27, 2023","Feb 27, 2023","Solicitation","G3PC Recruitment","Active","N/A","N/A","N/A","Other General Government Support","SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS","N/A","N/A"
"72067423R00010","Health System Strengthening & Digital Health Team Lead (eSwatini)","The Health System Strengthening and Digital Health Team Lead (hereafter referred to as the “Team Lead”) fills a key technical leadership and management role on the USAID/Eswatini Team. S/he provides leadership on sustainability, health systems strengthening, and digital health. The Team Lead is a highly qualified, highly skilled technical expert who possesses the political and diplomatic tact required to devise innovative approaches to sustainability efforts. S/he will use highly collaborative governmental and private sector approaches to promote models to create efficiencies in service delivery, improve digital health infrastructure, and drive use of information systems to advance program analytics. S/he will have a strong technical background in health finance, digital health, and/or strategic information, with demonstrated ability to quickly gain proficiencies in technical areas. The incumbent will serve as a mentor to USG staff, implementing partners, and stakeholders. The Team Lead will play a leadership role within PEPFAR Eswatini’s interagency technical working groups contributing to the development of annual and long-term sustainability planning, Health Systems and Strategic Information strategies and activities. S/he will engage with a wide range of stakeholders, including the Ministries of Economic Planning and Development, Finance, Health, Education, Public Service, Public Works, Natural Resources and Planning, Sports Youth and Culture, and related regulatory and parastatal organizations. S/he will collaborate closely with Embassy Eswatini and USAID Southern Africa colleagues to help leverage broader development opportunities with public and private stakeholders in a range of fields, including energy, connectivity, and economic development.","Mar 27, 2023 05:00 PM CEST","Feb 27, 2023","Feb 27, 2023","Solicitation","Engeline Sebego | Saajida Hoover","Active","N/A","N/A","N/A","All Other Personal Services","SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS","N/A","N/A"
"72067423R00008","Senior Clinical Services and Integration Advisor (Lesotho)","The Senior Clinical Services and Integration Advisor (hereafter referred to as ‘The Advisor’) oversees USAID/Lesotho’s HIV clinical care and treatment services program across all governmental, faith-based, and private service delivery outlets in collaboration with the Ministry of Health (MOH) and the Christian Health Association of Lesotho (CHAL). The Advisor will provide technical leadership across the overall clinical services portfolio and serve as the HIV treatment lead for the USAID/Lesotho country office. This includes providing strategic technical direction and guidance to USAID technical programs in all aspects of PEPFAR planning, reporting, and budgeting cycles, such as the Country Operational Plan, semi-annual, and annual progress reporting. The Advisor will be the subject matter expert for all USAID activities related to strengthening and integrating HIV clinical services into primary health care platforms. As such, the Advisor represents USAID in the USG interagency and engages at a senior level with relevant health and development partner stakeholders, including government counterparts and relevant line Ministry leadership, other development partners, and private sector partners to advance the USAID/PEPFAR response and achieve USAID development aims.","Mar 27, 2023 05:00 PM CEST","Feb 27, 2023","Feb 27, 2023","Solicitation","Engeline Sebego","Active","N/A","N/A","N/A","All Other Personal Services","SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS","N/A","N/A"
"7200AA23R00022","USPSC Digital Outreach and Social Media Specialist","The United States Government, represented by the U.S. Agency for International Development (USAID), is seeking applications from qualified individuals interested in providing Personal Services Contract (PSC) services as described in the attached solicitation. Submittals must be in accordance with the attached information at the place and time specified. In order to be considered for the position, candidates must meet the Minimum Qualifications listed in the solicitation. Consideration and selection will be based on a panel evaluation of the applications vis-a-vis the Evaluation Criteria. Resumes must be attached to the USAID form AID 309-2 (Offeror Information for Personal Services Contracts) and applicants should write a brief appendix to demonstrate how prior experience and/or training address these criteria. Applicants are required to sign the certification at the end of the AID 309-2. Applications received without a signature will not be considered for the position. Applicants are responsible for submitting the AID-309-2 so as to reach the Government office designated in the solicitation by the closing date and time specified in the solicitation. Applications must be submitted in an email to the person specified below. An application received after the closing date and time will be considered late, unless there is acceptable evidence to establish that it was received on time. Questions must be received by the questions closing date February 27, 2023 before 5:00 EST, by email to Sr. Contract Specialist Ony Razafindratovo at orazafindratovo@usaid.gov and with a copy to the Supervisory Contracting Officer Ms. Artaveya Carter at acarter@usaid.gov. Submission of proposals in response to this solicitation must be in accordance with the instructions in Section IV of this solicitation and must be directed by email to Ony Razafindratovo at orazafindratovo@usaid.gov and with a copy to the Supervisory Contracting Officer at acarter@usaid.gov. All email submissions must contain the solicitation number, RFP# 7200AA23R00022, in the subject line. Offerors should retain for their records copies of all enclosures which accompany their proposals. ","Mar 16, 2023 05:00 PM EDT","Feb 25, 2023","Feb 25, 2023","Solicitation","Ony Razafindratovo | Artaveya J. Carter","Active","N/A","N/A","N/A","All Other Professional, Scientific, and Technical Services","COMMUNICATIONS SERVICES","N/A","N/A"
"7200AA23R00037","Revised RFP.7200AA23R00037, Administrative and Financial Support Services for USAID/SEC","Solicitation No.:  7200AA23R00037 (Revised) Amendment #0001 Issue Date:  Friday, February 24, 2023 The purpose of this Amendment No. 0001 to RFP.7200AA23R00037 is to post the following documents in SAM.gov:  (1) Questions & Answers to the RFP; (2) Revised RFP.7200AA23R00037, Amendment #0001; (3) Revise Attachment A - Pricing Table and upload revised Attachment A; (4) Upload Attachments B and C. *********************************** Solicitation No:    7200AA23R00037 Solicitation Issue Date:           Friday, February 17, 2023 Questions Submission Date:  Wednesday, February 22, 2023, 4:00PM EST Solicitation Closing Date:        Wednesday, March 08, 2023, 4:00PM EST SUBJECT:    Request for Proposal (RFP) No. 7200AA23R00037 for USAID Office of Security Administrative and Financial Support Services – 8(a) Total Set-Aside Dear Sir or Madam, The United States Government, represented by the U.S. Agency for International Development (USAID), is soliciting proposals from qualified Small Business Administration (SBA) certified 8(a) contractors to provide administrative and financial support services to the USAID Office of Security. This procurement is a total 8(a) set-aside. The period of performance for this award is expected to be five (5) years, consisting of one (1) Base period and four (4) Option periods.  USAID anticipates awarding one (1) Firm-Fixed-Price contract under this solicitation. The NAICS code for this solicitation is 541214.  The incumbent contractor for this award is eliteBco LLC.  Instructions for responding to this solicitation are contained in Section L of this document.  Proposals will be evaluated on the basis of the criteria described in Section M. The award will be made to the offeror whose proposal offers the best value to the Government.   Responses to this RFP must follow the instructions and include the information outlined in Section L of the solicitation. Failure to follow or submit requested documentation may result in an organization being deemed as non-compliant, and not eligible for review.  Please ensure that your company’s registration in the System for Award Management (SAM) Central is current and up to date at the time in which the proposal is submitted and valid upon the date the award is issued.  SAM can be accessed at www.sam.gov.  Any questions regarding this RFP must be submitted via email only to the following email address, and the date and time shown for the Questions submission date shown above.  Questions will not be accepted if sent to additional email addresses or after the date and time listed above.   Proposals will be accepted via email only by the closing date and time shown above.  Email correspondence for questions and proposal submissions must be directed to Lucillyn Susi at lsusi@usaid.gov, with a copy to Deidre Jackson at dejackson@usaid.gov. The subject line must read: “Questions: RFP 7200AAR2300037– SEC Administrative and Financial Support Services Contract-[Name of Firm]”. Offerors should carefully consider Section L – Instructions to Offerors and Section M – Evaluation of Proposals. Sections “B” through Section “I” will become a substantive part of the anticipated contract with blanks to be completed by the Contracting Officer upon award. Proposals must be signed by an official who is authorized to bind the offeror’s organization. Required Company Information: 1) CAGE Code 2) SAM Unique Entity Identifier Number 3) Tax Identification number 4) Offeror’s Business Size Issuance of this solicitation does not constitute an award commitment on the part of the U.S Government nor does it commit the U.S. Government to pay for the costs incurred in the preparation and submission of a proposal.  Further, this solicitation is subject to availability of funds and other internal USAID approvals. The Government reserves the right to reject your offer, if such action is considered to be in the best interest of the Government and the offer does not meet the specified instructions and requirements of the SOW and this RFP.  The Government also reserves the right to not make an award. Sincerely, /s/ Deidre Jackson Contracting Officer, M/OAA/RM-A United States Agency for International Development Note:  Please refer to the Attachments/Links to open the full solicitation documents.  ","Mar 08, 2023 04:00 PM EST","Feb 24, 2023","Feb 24, 2023","Solicitation","Lucillyn C. Susi | Deidre L. Jackson","Active","N/A","N/A","N/A","Payroll Services ","FINANCIAL SERVICES","N/A","8(a) Set-Aside (FAR 19.8)"
"72052723RFI00004","Institutional Strengthening of DEVIDA","The purpose is to: 1. Elicit feedback and critique of the Draft Activity Description 2. Gather ideas, strategies and/or approaches on how to procure and implement market- oriented intervention(s) aimed at supporting the Peruvian Counternarcotics agency, the Comisión Nacional para el Desarrollo y la Vida Sin Drogas (DEVIDA)—to implement the 2020-2030 National Counternarcotics Policy, reduce poverty, and improve livelihoods. 3. Solicit Capability Statements from local and non-local entities.  ","Mar 06, 2023 04:00 PM PET","Feb 24, 2023","Feb 24, 2023","Special Notice","Andre-Guy Soh | Rosario Orrillo de Saldana","Active","N/A","N/A","N/A","All Other Professional, Scientific, and Technical Services","N/A","N/A","N/A"
"Ukraine_DBS_SSN_2023","USAID/Ukraine DBS Audit and Assurance Sources Sought Notice","This Sources Sought Notice (SSN) seeks sources capable of providing audit and assurance services related to budget support provided by USAID to the Government of Ukraine (GOU). Direct Budget Support (DBS) is financial support provided by the United States Government (USG) through USAID to the GOU, either directly or through intermediaries such as the World Bank (WB), to help finance nonmilitary budget expenditures for critical public services, such as education, pensions, health care, social subsidies, emergency, and rescue services. Please see the SSN for further details.","Mar 07, 2023 10:00 AM EST","Feb 24, 2023","Feb 24, 2023","Sources Sought","Carter Saunders","Active","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"USAID_OSDBU_Black_History_Month_Outreach_Event","USAID/OSDBU Black History Month Outreach Event (Small Business Event)","The United States Agency for International Development (USAID) Office of Small and Disadvantaged Business Utilization (OSDBU) Cordially Invites US Black Chambers, Inc. (USBC) Members To An Outreach Event February 28th, 2:00 - 3:00 PM, EST USAID welcomes USBC members to learn how to work with USAID and to hear from Agency Leaders on Advancing Equity in Procurement and our Diversity, Equity, Inclusion and Accessibility (DEIA) priorities.   The panel speakers will include: ? Kimberly Ball - Director of the Office of Small and Disadvantaged Business Utilization (OSDBU) ? Jamala Peyton - Deputy Director for Operations for the Office of Small and Disadvantaged Business Utilization (OSDBU) ? USAID Office of the Chief Diversity Officer","Feb 28, 2023 09:00 AM EST","Feb 24, 2023","Feb 24, 2023","Special Notice","Nkechi Mogewu | Valerie Lucas","Active","N/A","N/A","N/A","Administrative Management and General Management Consulting Services","MISCELLANEOUS ITEMS","N/A","N/A"
"72038623IDN00001","USAID/India Industry Day for Expanding Local Partnerships","United States Agency for International Development/India Industry Day for Expanding Local Partnerships United States Agency for International Development (USAID) is the world's premier international development agency driving development results. USAID's work advances U.S. national security and economic prosperity, demonstrates American generosity, and promotes a path to recipient self-reliance and resilience. To learn more about USAID, please visit www.usaid.gov. India is a partner in advancing USAID’s shared objectives to support clean energy, environment, climate challenges, health, open and inclusive digital ecosystems, inclusive economic growth, in India and across South and Central Asia and the Indo-Pacific region. To learn more about USAID/India’s work, please visit www.usaid.gov/India. In support of these shared objectives, USAID/India has planned an in-person Industry Day in New Delhi, Mumbai, Bangalore, and Kolkata to highlight shared priorities, and present USAID plans for current and/or future activities in various sectors in hopes of expanding local Indian partnerships. USAID/India cordially invites local Indian organizations to the first In-Person Industry Day which will be held in New Delhi (venue will be provided via individual invitation) on Friday, March 17, 2023, from 9:00 am to 4:00 pm India Standard Time. Specifics for future Industry Days to be held in Mumbai, Bangalore, and Kolkata will be provided in a separate notice. USAID seeks the participation of local Indian partners/organizations working in the technical sectors such as: Clean Energy, Environmental, Forestry, Sustainable Landscapes, and adaptation, Biodiversity, Health (Family Planning/Reproductive Health, Maternal and Child Health, Polio, Tuberculosis, HIV/AIDS), Water Supply, Sanitation and Hygiene, Education, Tibet Resilience, Digital Preservation of Documents, Disaster Risk Reduction, and Monitoring and Evaluation. Participation is limited to 100 participants, therefore, only ONE slot per organization will be allotted and reservations will be given to the first 100 respondents. However, organizations may propose up to TWO people, identifying the order of priority for the two proposed individuals. The second proposed individual will be placed on a waiting list, and her/his invitation to attend will be confirmed separately by USAID. HOW TO SIGN-UP FOR INDUSTRY DAY NEW DELHI: Organization/firm interested in attending the Industry Day in New Delhi must send: Name of Organization/Firm; Name of attendee(s) (identify priority if asking for two invitations); and, Type of work/services the organization/firm provides   Please provide the above details AS SOON AS POSSIBLE YET NO LATER THAN  Thursday, March 9, 2023, at 4:00 pm India Standard Time via email to Dev Kant Sharma at desharma@usaid.gov  and Bhawna Chadha at bchadha@usaid.gov. Email Subject line is to include  “Request to Attend Industry Day - March 17, 2023.” There is no registration fee for this event.  Official notification and invitation (to include specific venue) will be sent by USAID within 1-day of receipt of your organization’s expression of interest. QUESTIONS pertaining to this notice are to be sent to Dev Kant Sharma at desharma@usaid.gov  and Bhawna Chadha at bchadha@usaid.gov no later than March 10, 2023 at 4:00pm India Standard Time. NOTE: USAID will not reimburse participants for any expenses associated with their participation in this Industry Day.","Mar 09, 2023 10:30 AM GMT","Feb 24, 2023","Feb 24, 2023","Special Notice","N/A","Active","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
